YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1921,-1.32,-1.12,6.79,9.91,13.55,19.21,22.04,19.88,19.23,11.66,3.81,-1.66,-0.56,10.08,20.38,11.57,10.37
1922,-4.03,-1.40,3.20,8.23,15.43,19.44,21.36,20.26,17.38,11.58,5.04,-1.90,-2.36,8.95,20.35,11.33,9.57
1923,-4.18,-6.09,-0.12,7.90,13.27,19.79,20.19,19.68,16.92,11.84,5.53,3.37,-4.06,7.02,19.89,11.43,8.57
1924,-1.45,-4.34,1.93,7.40,12.49,18.31,22.35,21.13,15.72,11.28,5.70,-1.80,-0.81,7.27,20.60,10.90,9.49
1925,-4.09,1.92,5.00,8.80,13.17,20.68,21.50,20.69,16.73,8.43,4.95,-0.42,-1.32,8.99,20.96,10.04,9.67
1926,-1.97,-3.76,0.11,6.04,12.41,17.01,20.49,20.24,15.81,10.64,5.27,-3.19,-2.05,6.19,19.25,10.57,8.49
1927,-2.12,-1.13,4.16,7.97,11.92,17.40,21.40,18.62,17.21,13.09,8.24,0.82,-2.15,8.02,19.14,12.85,9.46
1928,-0.90,-2.81,1.63,7.09,12.00,17.38,22.00,21.99,15.78,12.39,5.55,2.33,-0.96,6.91,20.46,11.24,9.41
1929,-3.07,-1.62,4.05,6.99,15.14,19.19,21.62,19.60,17.38,10.50,5.52,-1.04,-0.79,8.73,20.14,11.13,9.80
1930,-1.53,-0.33,2.23,7.48,14.40,21.44,21.73,20.28,19.68,10.35,5.71,-0.68,-0.97,8.04,21.15,11.91,10.03
1931,-2.26,-2.40,2.86,8.98,14.73,18.54,22.40,21.19,18.26,13.40,8.13,1.18,-1.78,8.86,20.71,13.26,10.26
1932,2.31,-2.25,0.81,7.44,14.69,18.14,21.72,22.21,17.26,12.60,4.43,2.02,0.41,7.65,20.69,11.43,10.04
1933,2.42,0.07,1.49,7.55,16.09,20.41,21.19,21.57,18.27,10.75,2.56,-3.59,1.50,8.38,21.06,10.53,10.37
1934,-2.14,-8.95,1.07,8.35,15.48,19.00,22.51,19.12,17.55,9.04,6.58,-2.74,-4.89,8.30,20.21,11.06,8.67
1935,-5.75,-3.20,2.97,6.78,12.63,18.19,22.19,20.99,15.83,11.37,6.49,-3.50,-3.90,7.46,20.46,11.23,8.81
1936,-2.95,-6.01,4.79,6.76,15.49,18.59,21.34,20.37,16.46,11.67,3.22,0.93,-4.15,9.01,20.10,10.45,8.85
1937,2.14,-0.21,0.59,6.76,14.69,18.69,22.54,23.17,16.66,10.67,5.72,-1.18,0.95,7.35,21.47,11.02,10.20
1938,-3.07,-1.72,3.28,8.75,12.78,19.18,21.73,22.56,16.25,12.56,7.01,0.31,-1.99,8.27,21.16,11.94,9.84
