YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1922,-1.81,0.53,5.31,10.98,18.47,22.51,23.74,22.84,20.45,14.64,7.74,0.85,-0.24,11.59,23.03,14.28,12.16
1923,-1.21,-3.27,2.43,10.62,16.09,23.47,23.77,22.82,20.55,13.56,7.28,5.83,-1.21,9.71,23.35,13.80,11.41
1924,0.30,-1.92,4.09,9.90,14.46,20.41,23.69,23.77,18.12,14.10,6.45,0.83,1.40,9.48,22.62,12.89,11.60
1925,-1.66,3.77,6.93,11.44,15.63,23.86,23.37,23.40,20.90,10.47,6.15,1.80,0.98,11.33,23.54,12.51,12.09
1926,0.01,-1.83,1.94,8.64,15.92,19.78,24.34,23.72,19.00,12.83,7.15,-2.08,-0.01,8.83,22.61,12.99,11.11
1927,-0.80,2.68,6.35,9.53,15.49,20.06,23.65,20.52,20.28,15.34,9.47,3.06,-0.07,10.46,21.41,15.03,11.71
1928,1.21,1.01,4.06,9.40,15.43,19.96,24.81,24.62,18.17,15.17,8.72,4.24,1.76,9.63,23.13,14.02,12.13
1929,-0.42,0.34,7.63,10.79,17.07,22.40,24.77,23.00,21.03,12.79,7.63,2.10,1.39,11.83,23.39,13.82,12.61
1930,0.62,2.23,4.82,9.65,18.14,23.46,24.97,23.41,22.34,13.11,7.59,1.62,1.65,10.87,23.95,14.35,12.70
1931,0.05,0.72,4.64,10.93,16.76,22.53,25.60,24.26,22.68,16.64,11.38,4.71,0.80,10.78,24.13,16.90,13.15
1932,5.84,2.15,2.93,10.07,16.97,21.68,24.74,25.05,21.09,14.63,6.82,4.02,4.23,9.99,23.82,14.18,13.06
1933,4.83,0.73,3.66,10.50,18.64,22.75,24.88,23.90,21.15,13.34,4.92,0.60,3.19,10.93,23.84,13.14,12.78
1934,1.03,-6.80,2.88,10.30,18.00,23.49,25.72,22.58,20.78,12.34,9.38,1.06,-1.72,10.39,23.93,14.17,11.69
