YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1921,-0.59,-0.49,6.91,10.51,14.01,19.71,22.71,20.21,19.81,12.01,4.81,-0.80,-0.02,10.48,20.88,12.21,10.88
1922,-3.20,-0.50,3.70,8.90,16.20,20.10,21.40,20.70,18.00,12.00,5.50,-1.31,-1.50,9.60,20.73,11.83,10.17
1923,-3.61,-5.41,0.39,8.19,13.99,19.99,20.39,19.89,17.39,11.69,5.59,3.68,-3.44,7.52,20.09,11.56,8.93
1924,-0.92,-3.82,2.18,7.88,12.78,18.18,22.18,21.58,15.88,11.58,5.98,-1.03,-0.35,7.61,20.65,11.15,9.76
1925,-3.33,1.97,4.97,9.07,13.17,21.07,21.57,21.17,17.07,8.37,5.17,0.06,-0.80,9.07,21.27,10.20,9.94
1926,-1.24,-2.84,0.46,6.36,13.16,16.96,21.06,21.06,16.36,10.54,5.74,-2.77,-1.34,6.66,19.69,10.88,8.97
1927,-1.67,-0.07,4.43,7.83,12.83,17.63,21.83,18.93,17.53,13.43,8.53,1.32,-1.50,8.36,19.46,13.16,9.87
1928,-0.18,-1.88,1.92,7.12,12.82,17.52,22.72,22.52,15.82,12.52,6.42,2.51,-0.25,7.29,20.92,11.59,9.89
1929,-2.39,-0.79,4.91,8.01,14.91,19.71,22.01,20.21,17.71,10.71,6.01,-0.41,-0.22,9.28,20.64,11.48,10.29
1930,-1.01,0.49,2.79,7.79,15.29,21.49,22.29,20.99,19.79,10.69,5.99,-0.02,-0.31,8.62,21.59,12.16,10.52
1931,-1.62,-1.32,3.38,9.38,15.18,19.18,22.78,21.88,19.18,13.68,8.48,2.37,-0.99,9.31,21.28,13.78,10.85
1932,3.27,-1.13,1.27,8.07,14.97,999.90,21.47,22.27,17.47,12.67,4.87,2.36,1.50,8.10,20.98,11.67,10.56
1933,2.56,-0.14,1.66,7.56,15.46,19.66,21.26,21.36,17.86,10.96,3.36,-2.65,1.59,8.23,20.76,10.73,10.33
1934,-1.25,-8.55,1.75,8.95,15.65,19.95,23.35,19.65,18.65,9.75,7.15,-1.66,-4.15,8.78,20.98,11.85,9.37
1935,-4.76,-2.26,4.24,7.74,13.34,18.64,22.94,21.34,16.44,11.54,7.24,-2.77,-2.89,8.44,20.97,11.74,9.57
1936,-2.56,-5.27,6.13,6.93,15.13,19.03,21.53,21.63,17.03,11.73,3.63,1.62,-3.53,9.40,20.73,10.80,9.35
1937,2.72,0.72,0.92,7.62,15.12,19.42,22.62,23.42,16.72,10.42,6.12,-0.59,1.69,7.89,21.82,11.09,10.62
1938,-2.49,-0.59,4.11,9.31,13.41,19.01,22.41,23.21,16.61,13.21,7.31,0.70,-1.22,8.94,21.54,12.38,10.41
1939,-2.59,0.20,0.90,6.90,14.40,18.80,22.20,23.40,17.40,11.60,999.90,999.90,-0.56,7.40,21.47,11.62,9.98
1940,999.90,999.90,999.90,999.90,999.90,999.90,22.49,20.19,17.19,9.79,5.59,1.38,999.90,999.90,20.45,10.86,999.90
1941,-3.62,-1.52,0.68,10.88,15.38,19.88,22.18,21.28,18.38,13.08,7.58,0.86,-1.25,8.98,21.11,13.01,10.46
1942,-2.24,-2.74,4.96,9.76,16.16,19.86,22.16,20.30,17.23,11.71,5.72,-2.57,-1.37,10.29,20.77,11.55,10.31
1943,-3.35,-0.85,2.35,6.15,14.65,21.85,23.15,21.85,16.85,11.75,5.55,-1.86,-2.26,7.72,22.28,11.38,9.78
1944,-1.16,-1.86,1.04,6.84,16.94,19.34,23.54,23.24,18.34,11.64,5.44,-1.37,-1.63,8.27,22.04,11.81,10.12
1945,-5.16,-1.27,7.93,11.53,13.13,19.43,22.73,21.23,19.23,11.13,6.63,-2.68,-2.60,10.86,21.13,12.33,10.43
1946,-2.08,-2.68,8.12,7.72,14.12,19.42,21.72,19.32,18.22,13.72,8.02,1.11,-2.48,9.99,20.15,13.32,10.24
1947,-0.29,-2.09,2.61,7.91,13.51,17.91,23.21,22.41,17.61,15.31,4.41,-1.30,-0.42,8.01,21.18,12.44,10.30
1948,-4.99,-3.33,3.12,8.49,13.22,17.79,22.84,22.50,18.16,11.53,9.35,1.75,-3.21,8.28,21.04,13.01,9.78
1949,1.82,1.49,3.89,10.13,14.77,21.11,24.28,22.63,16.86,14.24,5.76,1.91,1.69,9.60,22.67,12.29,11.56
1950,2.73,-2.30,0.78,7.63,12.89,19.26,22.19,20.98,15.97,13.14,8.09,1.23,0.78,7.10,20.81,12.40,10.27
1951,0.88,1.45,4.06,10.37,14.82,18.54,22.73,21.31,18.03,12.65,5.38,1.62,1.19,9.75,20.86,12.02,10.95
1952,0.66,0.44,2.93,10.15,13.96,20.56,24.76,21.97,18.31,11.03,7.00,1.81,0.91,9.01,22.43,12.11,11.12
1953,1.56,1.71,4.27,9.31,14.74,20.74,22.01,21.42,18.17,12.33,7.88,3.72,1.69,9.44,21.39,12.79,11.33
1954,-3.18,2.08,3.57,9.95,13.31,19.36,21.45,20.11,16.93,14.36,6.25,0.93,0.87,8.94,20.31,12.51,10.66
1955,-2.02,-0.09,3.00,9.46,15.55,18.61,24.36,22.95,16.96,12.63,5.24,-3.44,-0.39,9.34,21.97,11.61,10.63
1956,-0.73,0.35,0.77,6.79,12.09,19.68,21.54,21.56,15.75,11.31,6.76,2.50,-1.27,6.55,20.93,11.27,9.37
1957,-4.99,1.19,3.99,9.88,15.01,21.54,22.61,20.04,18.39,11.79,7.67,3.70,-0.43,9.63,21.40,12.62,10.80
1958,-0.57,-3.92,3.73,8.94,12.86,17.13,22.11,21.63,17.37,10.98,7.31,-3.57,-0.26,8.51,20.29,11.89,10.11
1959,-1.98,-2.78,2.59,9.59,16.21,18.28,22.65,23.30,19.46,12.38,6.40,1.49,-2.78,9.46,21.41,12.75,10.21
1960,-1.45,1.84,-0.14,9.42,14.86,19.85,21.78,21.68,17.06,11.57,7.71,-2.41,0.63,8.05,21.10,12.11,10.47
1961,-4.50,-0.64,2.89,7.57,12.99,19.86,22.43,21.78,20.67,13.38,6.60,0.15,-2.52,7.82,21.36,13.55,10.05
1962,-1.94,-2.87,3.28,9.35,13.77,19.33,20.39,20.67,16.12,11.36,5.06,-1.79,-1.55,8.80,20.13,10.85,9.56
